experiment	scenario_id	val_accuracy	val_loss	val_top2_accuracy	MODEL_ARCH	AUGMENTATION	LOSS	OPTIMIZER	LR	MOMENTUM	WEIGHT_DECAY	BATCH_SIZE	EPOCHS	SCHEDULER	baseline_tag	exploration_space	untrained	elapsed_sec	git_commit	exp_dir	description	notes	timestamp
20260826_145142_3232877_s0of1_plain_simpledla_rerun	cifar10_source_reference	0.951400	0.209729	0.985200	SimpleDLA	baseline	cross_entropy	sgd	0.100000	0.900000	0.000500	128	200	cosine	plain		False	5389.170000	2a6898c	_runs/exp/20260826_145142_3232877_s0of1_plain_simpledla_rerun	finalize_round（多槽汇总）		2026-08-26T08:45:59.607935+00:00
20260826_145142_3232878_s0of1_reference_dla_rerun	cifar10_source_reference	0.958500	0.178082	0.988400	DLA	baseline	cross_entropy	sgd	0.100000	0.900000	0.000500	128	200	cosine	reference		False	4858.000000	2a6898c	_runs/exp/20260826_145142_3232878_s0of1_reference_dla_rerun	finalize_round（多槽汇总）		2026-08-26T08:45:59.622456+00:00
20260910_014158_3442777_s0of1_smoke_check	cifar10_autonomous	0.763500	0.680630	0.890900	SimpleDLA	baseline	cross_entropy	sgd	0.100000	0.900000	0.000500	128	200	cosine	none		1	128.780000	698fff1	_runs/exp/20260910_014158_3442777_s0of1_smoke_check	finalize_round（多槽汇总）		2026-09-09T17:44:05.615329+00:00
20260910_014751_3493299_s0of1_run	cifar10_autonomous	0.951400	0.209729	0.985200	SimpleDLA	baseline	cross_entropy	sgd	0.100000	0.900000	0.000500	128	200	cosine	plain	A-routine	0	3888.530000	124a710	_runs/exp/20260910_014751_3493299_s0of1_run	finalize_round（多槽汇总）		2026-09-09T18:52:38.836172+00:00
20260910_025959_4087829_s0of2_run	cifar10_autonomous	0.911600	0.285758	0.971600	SimpleDLA	baseline	cross_entropy	sgd	0.100000	0.900000	0.005000	128	200	cosine	none	A-routine	0	3810.270000	1a13cd3	_runs/exp/20260910_025959_4087829_s0of2_run	finalize_round（多槽汇总）		2026-09-09T20:13:58.548289+00:00
20260910_025959_4087831_s1of2_run	cifar10_autonomous	0.950300	0.201151	0.984800	SimpleDLA	baseline	cross_entropy	sgd	0.100000	0.900000	0.000500	128	200	sgdr	none	A-routine	0	3729.000000	1a13cd3	_runs/exp/20260910_025959_4087831_s1of2_run	finalize_round（多槽汇总）		2026-09-09T20:13:58.573993+00:00
20260910_041953_556854_s0of1_run	cifar10_autonomous	0.949000	0.651061	0.981500	SimpleDLA	baseline	cross_entropy	sgd	0.100000	0.900000	0.000500	128	200	cosine	none	C-routine	0	3920.710000	55839ee	_runs/exp/20260910_041953_556854_s0of1_run	finalize_round（多槽汇总）		2026-09-09T21:25:12.970667+00:00
20260910_053209_1151235_s1of2_run	cifar10_autonomous	0.958500	0.178082	0.988400	DLA	baseline	cross_entropy	sgd	0.100000	0.900000	0.000500	128	200	cosine	none	C-different	0	4187.440000	e46b4ce	_runs/exp/20260910_053209_1151235_s1of2_run	finalize_round（多槽汇总）		2026-09-09T23:28:52.639692+00:00
20260910_053207_1150912_s0of2_run	cifar10_autonomous	0.965300	0.131904	0.990300	wrn28_10	baseline	cross_entropy	sgd	0.100000	0.900000	0.000500	128	200	cosine	none	B-different	0	6886.160000	e46b4ce	_runs/exp/20260910_053207_1150912_s0of2_run	finalize_round（多槽汇总）		2026-09-09T23:28:52.665827+00:00
20260910_073624_2184996_s1of2_run	cifar10_autonomous	0.959100	0.167170	0.989300	wrn28_10	baseline	cross_entropy	sgd	0.030000	0.900000	0.000500	128	200	cosine	none	A-routine	0	6843.800000	fe182cc	_runs/exp/20260910_073624_2184996_s1of2_run	finalize_round（多槽汇总）		2026-09-10T01:32:25.264798+00:00
20260910_073624_2184994_s0of2_run	cifar10_autonomous	0.964100	0.146902	0.988900	wrn28_10	baseline	cross_entropy	sgd	0.050000	0.900000	0.000500	128	200	cosine	none	A-routine	0	6884.640000	fe182cc	_runs/exp/20260910_073624_2184994_s0of2_run	finalize_round（多槽汇总）		2026-09-10T01:32:25.290943+00:00
20260910_095111_3330299_s0of2_run	cifar10_autonomous	0.972000	0.154373	0.990000	wrn28_10	mixup	cross_entropy	sgd	0.100000	0.900000	0.000500	128	200	cosine	none	D-derived	0	6918.830000	132c11f	_runs/exp/20260910_095111_3330299_s0of2_run	finalize_round（多槽汇总）		2026-09-10T03:48:01.451285+00:00
